"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3227","Registration with various data: chromium-empty_data","tests","Sat Sep 27 01:42:41 UTC 2025","passed","Sat Sep 27 01:42:44 UTC 2025","TestRegistration","test_registration","",""
"","7454","Registration with various data: chromium-sql_injection_data","tests","Sat Sep 27 01:42:49 UTC 2025","failed","Sat Sep 27 01:42:57 UTC 2025","TestRegistration","test_registration","",""
"","6973","Registration with various data: chromium-max_count","tests","Sat Sep 27 01:42:03 UTC 2025","passed","Sat Sep 27 01:42:10 UTC 2025","TestRegistration","test_registration","",""
"","10619","Registration with various data: chromium-cross_script_data","tests","Sat Sep 27 01:42:30 UTC 2025","failed","Sat Sep 27 01:42:41 UTC 2025","TestRegistration","test_registration","",""
"","8289","Registration with various data: chromium-max_count_and_one","tests","Sat Sep 27 01:42:02 UTC 2025","passed","Sat Sep 27 01:42:11 UTC 2025","TestRegistration","test_registration","",""
"","5843","Registration with various data: chromium-with_space_data","tests","Sat Sep 27 01:42:03 UTC 2025","passed","Sat Sep 27 01:42:09 UTC 2025","TestRegistration","test_registration","",""
"","5437","Registration with various data: chromium-with_max_number","tests","Sat Sep 27 01:42:32 UTC 2025","passed","Sat Sep 27 01:42:37 UTC 2025","TestRegistration","test_registration","",""
"","11405","Registration with various data: chromium-invalid_data","tests","Sat Sep 27 01:42:04 UTC 2025","failed","Sat Sep 27 01:42:15 UTC 2025","TestRegistration","test_registration","",""
"","3532","Registration with correct data and without user agreement","tests","Sat Sep 27 01:42:38 UTC 2025","passed","Sat Sep 27 01:42:41 UTC 2025","TestRegistration","test_registration","",""
"","5371","Registration with various data: chromium-with_hyphen","tests","Sat Sep 27 01:42:34 UTC 2025","passed","Sat Sep 27 01:42:40 UTC 2025","TestRegistration","test_registration","",""
"","6524","Registration with various data: chromium-hebrew_data","tests","Sat Sep 27 01:42:03 UTC 2025","passed","Sat Sep 27 01:42:09 UTC 2025","TestRegistration","test_registration","",""
